Codigo;Nombre;CodigoPadre
A083;OTRAS ENTERITIS VIRALES;A08
A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION;A08
A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS;A08
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO;NULL
A15;TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;NULL
A150;TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO;A15
A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO;A15
A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE;A15
A153;TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS;A15
A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;A15
A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;A15
A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;A15
A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;A15
A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE;A15
A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE;A15
A16;TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;NULL
A160;TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS;A16
A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO;A16
A162;TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;A16
A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;A16
A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;A16
A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;A16
A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;A16
A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION;A16
A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;A16
A17;TUBERCULOSIS DEL SISTEMA NERVIOSO;NULL
A170;MENINGITIS TUBERCULOSA (G01);A17
A171;TUBERCULOMA MENINGEO (G07);A17
A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO;A17
A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8);A17
A18;TUBERCULOSIS DE OTROS ORGANOS;NULL
A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES;A18
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO;A18
A182;LINFADENOPATIA PERIFERICA TUBERCULOSA;A18
A183;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS;A18
A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO;A18
A185;TUBERCULOSIS DEL OJO;A18
A186;TUBERCULOSIS DEL OIDO;A18
A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1);A18
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS;A18
A19;TUBERCULOSIS MILIAR;NULL
A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO;A19
A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES;A19
A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA;A19
A198;OTRAS TUBERCULOSIS MILIARES;A19
A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION;A19
A20;PESTE;NULL
A200;PESTE BUBONICA;A20
A201;PESTE CELULOCUTANEA;A20
A202;PESTE NEUMONICA;A20
A203;MENINGITIS POR PESTE;A20
A207;PESTE SEPTICEMICA;A20
A208;OTRAS FORMAS DE PESTE;A20
A209;PESTE, NO ESPECIFICADA;A20
A21;TULAREMIA;NULL
A210;TULAREMIA ULCEROGLANDULAR;A21
A211;TULAREMIA OCULOGLANDULAR;A21
A212;TULAREMIA PULMONAR;A21
A213;TULAREMIA GASTROINTESTINAL;A21
A217;TULAREMIA GENERALIZADA;A21
A218;OTRAS FORMAS DE TULAREMIA;A21
A219;TULAREMIA , NO ESPECIFICADA;A21
A22;CARBUNCO [ ANTRAX ];NULL
A220;CARBUNCO CUTANEO;A22
A221;CARBUNCO PULMONAR;A22
A222;CARBUNCO GASTROINTESTINAL;A22
A227;CARBUNCO SEPTICEMICO;A22
A228;OTRAS FORMAS DE CARBUNCO;A22
A229;CARBUNCO, NO ESPECIFICADO;A22
A23;BRUCELOSIS;NULL
A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS;A23
A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS;A23
A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS;A23
A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS;A23
A238;OTRAS BRUCELOSIS;A23
A239;BRUCELOSIS, NO ESPECIFICADA;A23
A24;MUERMO Y MELIOIDOSIS;NULL
A240;MUERMO;A24
A241;MELIOIDOSIS AGUDA Y FULMINANTE;A24
A242;MELIOIDOSIS SUBAGUDA Y CRONICA;A24
A243;OTRAS MELIOIDOSIS;A24
A244;MELIOIDOSIS , NO ESPECIFICADA;A24
A25;FIEBRE POR MORDEDURA DE RATA;NULL
A250;ESPIRILOSIS;A25
A251;ESTREPTOBACILOSIS;A25
A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA;A25
A26;ERISIPELOIDE;NULL
A260;ERISIPELOIDE CUTANEO;A26
A267;SEPTICEMIA POR ERYSIPELOTHRIX;A26
A268;OTRAS FORMAS DE ERISIPELOIDE;A26
A269;ERISIPELOIDE, NO ESPECIFICADA;A26
A27;LEPTOSPIROSIS;NULL
A270;LEPTOSPIROSIS ICTEROHEMORRAGICA;A27
A278;OTRAS FORMAS DE LEPTOSPIROSIS;A27
A279;LEPTOSPIROSIS, NO ESPECIFICADA;A27
A28;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE;NULL
A280;PASTEURELOSIS;A28
A281;ENFERMEDAD POR RASGUÑO DE GATO;A28
A282;YERSINIOSIS EXTRAINTESTINAL;A28
A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE;A28
A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION;A28
A30;LEPRA [ ENFERMEDAD DE HANSEN ];NULL
A300;LEPRA INDETERMINADA;A30
A301;LEPRA TUBERCULOIDE;A30
A302;LEPRA TUBERCULOIDE LIMITROFE;A30
A303;LEPRA LIMITROFE;A30
A304;LEPRA LEPROMATOSA LIMITROFE;A30
A305;LEPRA LEPROMATOSA;A30
A308;OTRAS FORMAS DE LEPRA;A30
A309;LEPRA, NO ESPECIFICADA;A30
A31;INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS;NULL
A310;INFECCIONES POR MICOBACTERIAS PULMONARES;A31
A311;INFECCION CUTANEA POR MICOBACTERIAS;A31
A318;OTRAS INFECCIONES POR MICOBACTERIAS;A31
A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA;A31
A32;LISTERIOSIS;NULL
A320;LISTERIOSIS CUTANEA;A32
A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA;A32
A327;SEPTICEMIA LISTERIANA;A32
A328;OTRAS FORMAS DE LISTERIOSIS;A32
A329;LISTERIOSIS, NO ESPECIFICADA;A32
A33;TETANOS NEONATAL;NULL
A34;TETANOS OBSTETRICO;NULL
A35;OTROS TETANOS;NULL
A36;DIFTERIA;NULL
A360;DIFTERIA FARINGEA;A36
A361;DIFTERIA NASOFARINGEA;A36
A362;DIFTERIA LARINGEA;A36
A363;DIFTERIA CUTANEA;A36
A368;OTRAS DIFTERIAS;A36
A369;DIFTERIA, NO ESPECIFICADA;A36
A37;TOS FERINA [ TOS CONVULSIVA ];NULL
A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS;A37
A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS;A37
A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA;A37
A379;TOS FERINA, NO ESPECIFICADA;A37
A38;ESCARLATINA;NULL
A39;INFECCION MENINGOCOCICA;NULL
A390;MENINGITIS MENINGOCOCICA (G01);A39
A391;SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1);A39
A392;MENINGOCOCEMIA AGUDA;A39
A393;MENINGOCOCEMIA CRONICA;A39
A394;MENINGOCOCEMIA, NO ESPECIFICADA;A39
A395;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO;A39
A398;OTRAS INFECCIONES MENINGOCOCICAS;A39
A399;INFECCION MENINGOCOCICA, NO ESPECIFICADA;A39
A40;SEPTICEMIA ESTREPTOCOCICA;NULL
A400;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A;A40
A401;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B;A40
A402;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D;A40
A403;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE;A40
A408;OTRAS SEPTICEMIAS ESTREPTOCOCICAS;A40
A409;SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA;A40
A41;OTRAS SEPTICEMIAS;NULL
A410;SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS;A41
A411;SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO;A41
A412;SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO;A41
A413;SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE;A41
A414;SEPTICEMIA DEBIDA A ANAEROBIOS;A41
A415;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS;A41
A418;OTRAS SEPTICEMIAS ESPECIFICADAS;A41
A419;SEPTICEMIA, NO ESPECIFICADA;A41
A42;ACTINOMICOSIS;NULL
A420;ACTINOMICOSIS PULMONAR;A42
A421;ACTINOMICOSIS ABDOMINAL;A42
A422;ACTINOMICOSIS CERVICOFACIAL;A42
A427;SEPTICEMIA ACTINOMICOTICA;A42
A428;OTRAS FORMAS DE ACTINOMICOSIS;A42
A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION;A42
A43;NOCARDIOSIS;NULL
A430;NOCARDIOSIS PULMONAR;A43
A431;NOCARDIOSIS CUTANEA;A43
A438;OTRAS FORMAS DE NOCARDIOSIS;A43
A439;NORCARDIOSIS , NO ESPECIFICADA;A43
A44;BARTONELOSIS;NULL
A440;BARTONELOSIS SISTEMICA;A44
A441;BARTONELOSIS CUTANEA Y MUCOCUTANEA;A44
A448;OTRAS FORMAS DE BARTONELOSIS;A44
A449;BARTONELOSIS, NO ESPECIFICADA;A44
A46;ERISIPELA;NULL
A48;OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE;NULL
A480;GANGRENA GASEOSA;A48
A481;ENFERMEDAD DE LOS LEGIONARIOS;A48
A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC];A48
A483;SINDROME DE CHOQUE TOXICO;A48
A484;FIEBRE PURPURICA BRASILEÑA;A48
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS;A48
A49;INFECCION BACTERIANA DE SITIO NO ESPECIFICADO;NULL
A490;INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN;A49
A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION;A49
A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION;A49
A493;INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION;A49
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO;A49
A499;INFECCION BACTERIANA, NO ESPECIFICADA;A49
A50;SIFILIS CONGENITA;NULL
A500;SIFILIS CONGENITA PRECOZ, SINTOMATICA;A50
A501;SIFILIS CONGENITA PRECOZ, LATENTE;A50
A502;SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN;A50
A503;OCULOPATIA SIFILITICA CONGENITA TARDIA;A50
A504;NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL];A50
A505;OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA;A50
A506;SIFILIS CONGENITA TARDIA, LATENTE;A50
A507;SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION;A50
A509;SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN;A50
A51;SIFILIS PRECOZ;NULL
A510;SIFILIS GENITAL PRIMARIA;A51
A511;SIFILIS PRIMARIA ANAL;A51
A512;SIFILIS PRIMARIA EN OTROS SITIOS;A51
A513;SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS;A51
A514;OTRAS SIFILIS SECUNDARIAS;A51
A515;SIFILIS PRECOZ, LATENTE;A51
A519;SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN;A51
A52;SIFILIS TARDIA;NULL
A520;SIFILIS CARDIOVASCULAR;A52
A521;NEUROSIFILIS SINTOMATICA;A52
A522;NEUROSIFILIS ASINTOMATICA;A52
A523;NEUROSIFILIS NO ESPECIFICADA;A52
A527;OTRAS SIFILIS TARDIAS SINTOMATICAS;A52
A528;SIFILIS TARDIA, LATENTE;A52
A529;SIFILIS TARDIA, NO ESPECIFICADA;A52
A53;OTRAS SIFILIS Y LAS NO ESPECIFICADAS;NULL
A530;SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA;A53
A539;SIFILIS, NO ESPECIFICADA;A53
A54;INFECCION GONOCOCICA;NULL
A540;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA;A54
A541;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS;A54
A542;PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS;A54
A543;INFECCION GONOCOCICA DEL OJO;A54
A544;INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR;A54
A545;FARINGITIS GONOCOCICA;A54
A546;INFECCION GONOCOCICA DEL ANO Y DEL RECTO;A54
A548;OTRAS INFECCIONES GONOCOCICAS;A54
A549;INFECCION, GONOCOCICA, NO ESPECIFICADA;A54
A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS;NULL
A56;OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDADAS A CLAMIDIAS;NULL
A560;INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS;A56
A561;INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS;A56
A562;INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION;A56
A563;INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS;A56
A564;INFECCION DE FARINGE DEBIDA A CLAMIDIAS;A56
A568;INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS;A56
A57;CHANCRO BLANDO;NULL
A58;GRANULOMA INGUINAL;NULL
A59;TRICOMONIASIS;NULL
A590;TRICOMONIASIS UROGENITAL;A59
A598;TRICOMONIASIS DE OTROS SITIOS;A59
A599;TRICOMONIASIS, NO ESPECIFICADA;A59
A60;INFECION ANOGENITAL DEBIDA A VIRUS DEL HERPES [ HERPES SIMPLE ];NULL
A600;INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE];A60
A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE;A60
A609;INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION;A60
A63;OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRASA PARTE;NULL
A630;VERRUGAS (VENEREAS) ANOGENITALES;A63
A638;OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS;A63
A64;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA;NULL
A65;SIFILIS NO VENEREA;NULL
A66;FRAMBESIA;NULL
A660;LESIONES INICIALES DE FRAMBESIA;A66
A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO;A66
A662;OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA;A66
A663;HIPERQUERATOSIS DE FRAMBESIA;A66
A664;GOMA Y ULCERAS DE FRAMBESIA;A66
A665;GANGOSA;A66
A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES;A66
A667;OTRAS MANIFESTACIONES DE FRAMBESIA;A66
A668;FRAMBESIA LATENTE;A66
A669;FRAMBESIA , NO ESPECIFICADA;A66
A67;PINTA [ CARATE ];NULL
A670;LESIONES PRIMARIAS DE LA PINTA;A67
A671;LESIONES INTERMEDIAS DE LA PINTA;A67
A672;LESIONES TARDIAS DE LA PINTA;A67
A673;LESIONES MIXTAS DE LA PINTA;A67
A679;PINTA, NO ESPECIFICADA;A67
A68;FIEBRES RECURRENTES;NULL
A680;FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS;A68
A681;FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS;A68
A689;FIEBRE RECURRENTE, NO ESPECIFICADA;A68
A69;OTRAS INFECCIONES CAUS POR ESPIROQUETAS;NULL
A690;ESTOMATITIS ULCERATIVA NECROTIZANTE;A69
A691;OTRAS INFECCIONES DE VICENT;A69
A692;ENFERMEDAD DE LYME;A69
A698;OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS;A69
A699;INFECCION POR ESPIROQUETA, NO ESPECIFICADA;A69
A70;INFECCION DEBIDA A CHLAMYDIA PSITTACI;NULL
A71;TRACOMA;NULL
A710;ESTADO INICIAL DE TRACOMA;A71
A711;ESTADO ACTIVO DE TRACOMA;A71
A719;TRACOMA, NO ESPECIFICADO;A71
A74;OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS;NULL
A740;CONJUNTIVITIS POR CLAMIDIAS (H13.1);A74
A748;OTRAS ENFERMEDADES POR CLAMIDIAS;A74
A749;INFECCION POR CLAMIDIAS, NO ESPECIFICADA;A74
A75;TIFUS;NULL
A750;TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS;A75
A751;TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL];A75
A752;TIFUS DEBIDO A RICKETTSIA TYPHI;A75
A753;TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI;A75
A759;TIFUS, NO ESPECIFICADO;A75
A77;FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS];NULL
A770;FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII;A77
A771;FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII;A77
A772;FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA;A77
A773;FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS;A77
A778;OTRAS FIEBRES MACULOSAS;A77
A779;FIEBRE MACULOSA, NO ESPECIFICADA;A77
A78;FIEBRE Q;NULL
A79;OTRAS RICKETTSIOSIS;NULL
A790;FIEBRE DE LAS TRINCHERAS;A79
A791;RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI;A79
A798;OTRAS RICKETTSIOSIS ESPECIFICADAS;A79
A799;RICKETTSIOSIS, NO ESPECIFICADA;A79
A80;POLIOMIELITIS AGUDA;NULL
A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA;A80
A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO;A80
A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO;A80
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS;A80
A804;POLIOMIELITIS AGUDA NO PARALITICA;A80
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN;A80
A81;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO;NULL
A810;ENFERMEDAD DE CREUTZFELDT-JAKOB;A81
A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA;A81
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA;A81
A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO;A81
A819;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION;A81
A82;RABIA;NULL
A820;RABIA SELVATICA;A82
A821;RABIA URBANA;A82
A829;RABIA, SIN OTRA ESPECIFICACION;A82
A83;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS;NULL
A830;ENCEFALITIS JAPONESA;A83
A831;ENCEFALITIS EQUINA DEL OESTE;A83
A832;ENCEFALITIS EQUINA DEL ESTE;A83
A833;ENCEFALITIS DE SAN LUIS;A83
A834;ENCEFALITIS AUSTRALIANA;A83
A835;ENCEFALITIS DE CALIFORNIA;A83
A836;ENFERMEDAD POR VIRUS ROCIO;A83
A838;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS;A83
A839;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION;A83
A84;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS;NULL
A840;ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA];A84
A841;ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS;A84
